timestamp,temperature_C,pressure_kPa,humidity_percent,air_quality_index
2025-05-08T17:03:23.392828,28.84,104.48,52,65
2025-05-08T17:03:28.394381,21.35,114.08,43,98
2025-05-08T17:03:33.396003,27.42,107.96,51,86
2025-05-08T17:03:38.397418,24.91,119.7,58,56
2025-05-08T17:03:45.183942,29.07,113.02,60,57
2025-05-08T17:03:50.185939,28.04,105.47,59,98
2025-05-08T17:03:55.187567,22.14,116.62,45,99
2025-05-08T17:04:00.189222,23.49,102.6,54,79
2025-05-08T17:04:05.191202,23.38,110.17,55,88
2025-05-08T17:04:10.193185,28.56,108.33,53,83
2025-05-08T17:04:16.984866,23.04,110.81,48,97
2025-05-08T17:04:21.987446,25.11,118.39,44,55
2025-05-08T17:04:26.989530,24.92,114.86,41,82
2025-05-08T17:04:31.991928,27.09,107.72,60,89
2025-05-08T17:04:36.994313,24.09,112.25,51,95
2025-05-08T17:04:41.996611,20.19,115.05,60,96
2025-05-08T17:04:48.806866,28.31,112.62,52,53
2025-05-08T17:04:53.809490,24.75,100.95,47,97
2025-05-08T17:04:58.811959,28.61,112.28,46,64
2025-05-08T17:05:03.814509,26.73,112.88,54,80
2025-05-08T17:05:08.817304,24.26,117.12,44,65
2025-05-08T17:05:13.820384,29.7,112.82,54,60
2025-05-08T17:05:20.543017,20.41,104.86,43,75
2025-05-08T17:05:25.545725,23.34,105.93,57,93
2025-05-08T17:05:30.549066,22.36,103.99,54,54
2025-05-08T17:05:35.552062,25.92,115.5,42,65
2025-05-08T17:05:40.554878,22.84,100.51,51,92
2025-05-08T17:05:45.558045,29.16,105.4,55,92
2025-05-08T17:05:52.334584,25.14,115.62,52,76
2025-05-08T17:05:57.338676,21.31,119.9,59,95
2025-05-08T17:06:02.342300,26.41,109.24,40,54
2025-05-08T17:06:07.345802,23.65,100.89,60,92
2025-05-08T17:06:12.349575,24.53,103.73,60,77
2025-05-08T17:06:17.353525,28.11,103,51,55
2025-05-08T17:06:24.154176,23,117.09,54,76
2025-05-08T17:06:29.158066,23.36,111.11,45,72
2025-05-08T17:06:34.161510,20.49,108.21,40,76
2025-05-08T17:06:39.165477,27.75,101.88,58,86
2025-05-08T17:06:44.169350,23.05,118.69,48,75
2025-05-08T17:06:49.173520,20.18,111.5,44,96
2025-05-08T17:06:56.002482,24.02,119.36,41,55
2025-05-08T17:07:01.006373,26.92,110.2,54,91
2025-05-08T17:07:06.010888,21.31,104.63,52,66
2025-05-08T17:07:11.014951,21.81,115.09,52,58
2025-05-08T17:07:16.019146,23.78,108.4,48,71
2025-05-08T17:07:21.023926,22.12,102.48,58,69
2025-05-08T17:07:27.725543,29.13,116.79,59,68
2025-05-08T17:07:32.730071,23.75,102.39,48,94
2025-05-08T17:07:37.734492,28.26,118.55,41,68
2025-05-08T17:07:42.739761,28.51,117.91,52,74
2025-05-08T17:07:47.744246,26.18,119.84,40,89
2025-05-08T17:07:52.749085,28.92,110.97,52,97
2025-05-08T17:07:59.548824,28.14,101.63,49,100
2025-05-08T17:08:04.553566,25.16,108.87,55,70
2025-05-08T17:08:09.558144,26.68,112.32,52,77
2025-05-08T17:08:14.562985,29.51,115.89,57,84
2025-05-08T17:08:19.568421,21.16,112.68,54,52
2025-05-08T17:08:24.573417,21.12,116.49,59,83
2025-05-08T17:08:31.374832,25.39,116.3,51,52
2025-05-08T17:08:36.379873,29.48,114.88,49,66
2025-05-08T17:08:41.385634,21.2,114.73,52,76
2025-05-08T17:08:46.391737,26.74,119.24,40,95
2025-05-08T17:08:51.396607,28.5,111.32,50,81
2025-05-08T17:08:56.402001,27.44,111.59,58,88
2025-05-08T17:09:03.227855,28.11,112.58,43,79
2025-05-08T17:09:08.232909,26.81,110.85,53,67
2025-05-08T17:09:13.238158,21.9,114.35,57,64
2025-05-08T17:09:18.244077,26.12,107.5,47,70
